Instructions,Responses
Quais atividades são consideradas Atividades Complementares de Pesquisa e Produção Científica?,"Consideram-se Atividades Complementares de Pesquisa aquelas sistematizadas e coordenadas por um professor, incluindo participação em projetos de pesquisa, publicação de artigos científicos, autoria de capítulos de livros, premiações acadêmicas, e apresentação de trabalhos em eventos."
Quais são as Atividades Complementares de Extensão?,"São atividades desenvolvidas em congressos, seminários, cursos de extensão, participação em comissões organizadoras, representação discente, e outras atividades de extensão a critério da coordenação."
Como deve ser solicitado o aproveitamento das Atividades Complementares?,O aproveitamento deve ser solicitado mediante a apresentação de um documento comprobatório.
As atividades complementares podem ser realizadas durante o horário de aulas regulares?,"Não, as Atividades Complementares devem ser realizadas em horário distinto daquele das aulas e demais atividades pedagógicas regulares do curso."
Quem é responsável pelo lançamento das Atividades Complementares no sistema acadêmico?,O lançamento das Atividades Complementares no Sistema de Controle Acadêmico é realizado pelo Coordenador de Curso.
As atividades registradas como complementares podem ser aproveitadas como carga horária optativa?,"Não, as atividades que constam como complementares no histórico do aluno não podem ser aproveitadas como carga horária optativa."
Como as atividades complementares devem ser normatizadas?,"A normatização das Atividades Complementares deve constar no Projeto Pedagógico de cada Curso, definindo as atividades aceitáveis e suas respectivas cargas horárias."
O que acontece com a Portaria 051/2007 após a Resolução 018/2007?,"A Resolução 018/2007 revoga a Portaria 051/2007 - PROEG, de 29 de junho de 2007."
As Atividades Complementares podem ser realizadas antes da matrícula no curso?,"Não, apenas atividades realizadas a partir da matrícula institucional do aluno no curso podem ser validadas como Atividades Complementares."
Qual é a duração do mandato da Comissão de Avaliação de Atividades Complementares?,"O mandato da Comissão de Avaliação de Atividades Complementares é de dois anos, podendo ser renovado por igual período."
Quais são as consequências para os casos omissos sobre Atividades Complementares?,Os casos omissos serão resolvidos pela Coordenação do Curso.
É necessário que as Atividades Complementares sejam desenvolvidas sob a supervisão de um professor?,"Sim, as Atividades Complementares de Pesquisa e Produção Científica devem ser coordenadas por um professor orientador."
As Atividades Complementares se aplicam a todos os cursos de graduação da UFAM?,"Sim, as Atividades Complementares são obrigatórias para a integralização dos currículos plenos de todos os cursos de graduação da UFAM."
Quais critérios a coordenação do curso pode usar para aceitar Atividades Complementares?,"A coordenação do curso pode definir quais atividades são aceitáveis entre as listadas nos artigos 3°, 4° e 5°, assim como a carga horária mínima e máxima para cada atividade."
Qual é a data de publicação da Resolução 018/2007?,A Resolução 018/2007 foi publicada em 01 de agosto de 2007.
O que é o Diário de Classe?,"O Diário de Classe é um documento oficial que registra as atividades acadêmicas, incluindo as frequências e notas dos alunos, sendo essencial para a organização do ensino e avaliação na Universidade."
Qual a importância do Boletim na Universidade Federal do Amazonas?,"O Boletim é um documento que apresenta as notas e a situação acadêmica dos alunos, sendo fundamental para que os estudantes acompanhem seu desempenho e para que a instituição mantenha registros precisos."
Como as notas são registradas no Diário de Classe?,"As notas são registradas no Diário de Classe pelo professor de cada disciplina, que deve anotar as avaliações e o desempenho dos alunos ao longo do semestre."
Qual o prazo para a entrega do Boletim aos alunos?,"O prazo para a entrega do Boletim aos alunos é estipulado pela coordenação do curso, geralmente após a conclusão do período letivo, para garantir que todos os dados estejam corretos e consolidados."
Quais informações devem constar no Diário de Classe?,"No Diário de Classe devem constar informações como a lista de alunos, as frequências, as notas de avaliações, observações sobre o desempenho e outras informações relevantes para a disciplina."
O que acontece se um aluno não comparecer às aulas?,"A falta de comparecimento às aulas deve ser registrada no Diário de Classe, e o aluno pode ser penalizado de acordo com as normas da universidade, podendo afetar sua aprovação na disciplina."
Como as faltas são contabilizadas?,"As faltas são contabilizadas por meio da presença do aluno em cada aula, sendo registradas pelo professor no Diário de Classe e podendo impactar na nota final do aluno."
É possível recorrer da nota registrada no Boletim?,"Sim, o aluno pode solicitar uma revisão de nota, seguindo os procedimentos estabelecidos pela universidade para contestar avaliações e notas registradas."
Quem é responsável por preencher o Diário de Classe?,"O preenchimento do Diário de Classe é de responsabilidade do professor da disciplina, que deve garantir que todas as informações estejam corretas e atualizadas."
Como o aluno pode acessar seu Boletim?,"O aluno pode acessar seu Boletim através do sistema online da universidade, onde as notas e outras informações acadêmicas são disponibilizadas."
O que é considerado falta justificada?,"Faltas justificadas são aquelas que ocorrem por motivos como problemas de saúde, obrigações legais ou outras situações que possam ser comprovadas, conforme as diretrizes da universidade."
O que deve ser feito em caso de erro no Diário de Classe?,"Em caso de erro no Diário de Classe, o professor deve corrigir a informação imediatamente e, se necessário, comunicar à coordenação do curso para que as devidas providências sejam tomadas."
Como as notas são calculadas para o Boletim?,"As notas para o Boletim são calculadas a partir da média das avaliações realizadas ao longo do semestre, levando em conta critérios como provas, trabalhos e participação."
O que acontece se um aluno tiver muitas faltas?,"Se um aluno tiver muitas faltas, ele pode ser reprovado na disciplina, conforme as normas da Universidade que determinam um limite máximo de faltas permitidas."
Os alunos podem ver as anotações no Diário de Classe?,"Geralmente, os alunos não têm acesso direto ao Diário de Classe, mas podem solicitar informações sobre suas notas e frequências ao professor."
Quando é feito o fechamento do Diário de Classe?,"O fechamento do Diário de Classe é feito ao final de cada período letivo, quando todas as notas e frequências são consolidadas para a geração do Boletim."
Qual é o procedimento para justificar faltas?,"O procedimento para justificar faltas envolve a apresentação de documentação que comprove o motivo da falta ao professor, que decidirá sobre a aceitação da justificativa."
O que deve ser feito se um aluno não concorda com a nota final?,"Se um aluno não concorda com a nota final, ele deve seguir o procedimento de revisão de notas estabelecido pela universidade, que pode incluir a solicitação de uma nova avaliação."
É permitido o uso de métodos alternativos de avaliação no Diário de Classe?,"Sim, os professores podem usar métodos alternativos de avaliação, desde que estejam de acordo com as diretrizes da universidade e sejam comunicados aos alunos."
Como as notas e faltas são reportadas à administração da universidade?,"As notas e faltas são reportadas à administração da universidade através do envio do Diário de Classe ao final do período letivo, onde são devidamente registradas no sistema institucional."
O que regulamenta a Resolução 069/2010 da UFAM?,A Resolução 069/2010 regulamenta o processo de oferta de disciplinas em períodos especiais na Universidade Federal do Amazonas.
Qual é a duração mínima de um período especial?,"Cada período especial terá a duração mínima de 18 dias letivos, incluindo os sábados."
Quem decide sobre a oferta de disciplinas em períodos especiais?,"Cabe aos Departamentos/Coordenações Acadêmicas decidir sobre a possibilidade de oferecer o ensino de qualquer disciplina em período especial, com base em solicitação feita pela Coordenação do Curso."
Quantas disciplinas um aluno pode cursar em período especial?,"O aluno poderá cursar, no máximo, 2 disciplinas em período especial, desde que respeitados os pré-requisitos."
Há restrições quanto à carga horária das disciplinas em período especial?,"Sim, as disciplinas oferecidas em períodos especiais não poderão ultrapassar 24 horas-aula por semana."
Quais disciplinas não podem ser oferecidas em período especial?,"Não poderão ser oferecidas disciplinas como Trabalho de Conclusão de Curso, Monografia, Estágio e disciplinas que requeiram prática de campo."
É permitido o trancamento ou cancelamento de matrícula em disciplinas de período especial?,"Não, não será permitido o trancamento nem o cancelamento de matrícula em disciplinas oferecidas em período especial."
Como é feito o processo de matrícula em disciplinas de período especial?,"A matrícula será realizada pelo Coordenador de Curso por meio do Sistema Acadêmico vigente, obedecendo à data prevista no calendário acadêmico."
Qual é a carga horária máxima diária para disciplinas em período especial?,Nenhuma oferta de disciplina poderá exceder 4 horas-aula diárias.
O que acontece se um aluno cursar duas disciplinas em período especial?,"Se o aluno cursar duas disciplinas, estas não deverão ter mais que 80% da carga horária cursada concomitantemente e não poderá haver dependência de pré-requisitos entre elas."
Quando os períodos especiais são definidos?,Os períodos especiais serão definidos no calendário acadêmico da UFAM.
Quais são os procedimentos para ofertar disciplinas em período especial?,"Os procedimentos incluem a solicitação da oferta pela Coordenação do Curso ao Departamento Acadêmico, a aprovação formal da oferta, a solicitação no Sistema Acadêmico e a indicação do local e professor responsável."
Qual é a importância do caráter intensivo do período especial?,O caráter intensivo do período especial e a disponibilidade de tempo para atividades didáticas e de estudo não permitem ao aluno cursar muitas disciplinas ou disciplinas com elevado número de créditos e carga horária.
Qual foi a data de publicação da Resolução 069/2010?,A Resolução 069/2010 foi publicada em 31 de agosto de 2010.
O que deve ser igual em disciplinas oferecidas em períodos especiais e regulares?,"O conteúdo programático, a carga horária e os créditos da disciplina oferecida em período especial devem ser iguais aos da disciplina oferecida em período regular."
O aluno pode matricular-se em disciplinas durante ou após um período especial?,Não será permitida a matrícula do aluno durante ou após a realização da disciplina em período especial.
Quem assina a Resolução 069/2010?,"A Resolução 069/2010 é assinada pelo Pro-reitor de Ensino de Graduação e Presidente da Câmara de Ensino, Pesquisa e Extensão da Universidade Federal do Amazonas."
O que deve ser respeitado ao solicitar disciplinas para período especial?,Deve-se respeitar as limitações fixadas na Resolução ao solicitar a oferta de disciplinas para período especial.
Como a demanda por disciplinas em períodos especiais é vista pela UFAM?,A demanda por disciplinas em períodos especiais representa pressão pela oferta excepcional de disciplinas.
Quais são as considerações que levaram à criação da Resolução 069/2010?,"As considerações incluem a necessidade de regulamentar o estatuto da UFAM, disciplinar a oferta de disciplinas em períodos especiais e observar o caráter intensivo do período especial."
"O que define a Resolução Nº 2, de 1º de julho de 2015?","A Resolução Nº 2, de 1º de julho de 2015, define as Diretrizes Curriculares Nacionais para a formação inicial em nível superior de profissionais do magistério para a educação básica, abrangendo cursos de licenciatura, formação pedagógica para graduados e cursos de segunda licenciatura, além de diretrizes para formação continuada."
Quais são os princípios que norteiam a formação inicial e continuada dos profissionais do magistério?,Os princípios incluem: sólida formação teórica e interdisciplinar; unidade teoria-prática; trabalho coletivo e interdisciplinar; compromisso social e valorização do profissional da educação; gestão democrática; e avaliação e regulação dos cursos de formação.
Qual a importância da articulação entre as Diretrizes Curriculares Nacionais para a Formação Inicial e as Diretrizes para a Educação Básica?,"A articulação é essencial para garantir que a formação dos profissionais do magistério esteja alinhada com as necessidades da educação básica, promovendo uma educação de qualidade e coesa, que respeite os princípios e normativas estabelecidas."
Quais as etapas e modalidades da educação básica que a formação inicial abrange?,"A formação inicial abrange a educação infantil, ensino fundamental, ensino médio, e modalidades como Educação de Jovens e Adultos, Educação Especial, Educação Profissional e Tecnológica, Educação do Campo, Educação Escolar Indígena, Educação a Distância e Educação Escolar Quilombola."
Como a formação continuada é descrita na Resolução?,"A formação continuada é apresentada como uma dimensão que deve incluir atividades coletivas e organizacionais, envolvendo reflexão sobre a prática pedagógica e busca por aperfeiçoamento técnico, pedagógico, ético e político dos profissionais do magistério."
O que é considerado essencial para a formação de professores da educação básica?,"É essencial uma formação que contemple a articulação entre teoria e prática, desenvolvendo competências específicas, interdisciplinares e pedagógicas, além de um compromisso com a promoção de uma educação para a cidadania."
Quais são os núcleos que compõem os cursos de formação inicial?,"Os cursos de formação inicial devem incluir um núcleo de estudos de formação geral, um núcleo de aprofundamento e diversificação de estudos das áreas de atuação profissional, e um núcleo de estudos integradores para enriquecimento curricular."
Qual a carga horária mínima exigida para os cursos de formação inicial de professores?,"Os cursos de formação inicial devem ter, no mínimo, 3.200 horas de efetivo trabalho acadêmico, distribuídas ao longo de 8 semestres ou 4 anos, incluindo horas para prática e estágio supervisionado."
Como a prática docente é abordada na formação inicial?,"A prática docente é abordada como um componente curricular essencial, com um mínimo de 400 horas dedicadas a atividades práticas e 400 horas para estágio supervisionado."
Quais são algumas das especificidades da formação para educação escolar indígena?,"A formação para a educação escolar indígena deve considerar normas e ordenamentos jurídicos próprios, com ênfase no ensino intercultural e bilíngue, valorizando as culturas dos povos indígenas."
Como a formação continuada deve ser estruturada?,"A formação continuada deve incluir atividades de atualização, aperfeiçoamento, especialização e outros cursos que integrem novos saberes e práticas, alinhados às políticas educacionais e às necessidades dos profissionais."
Qual o papel dos sistemas de ensino na valorização dos profissionais do magistério?,"Os sistemas de ensino devem garantir políticas de valorização, que incluem formação continuada, plano de carreira, salários adequados e condições dignas de trabalho para os profissionais do magistério."
O que se considera um currículo de qualidade para os cursos de formação de professores?,"Um currículo de qualidade deve incluir conteúdos específicos e pedagógicos, abrangendo práticas de ensino, metodologias e uma forte base teórica que respeite a diversidade e promova a inclusão."
Quais são as responsabilidades das instituições de educação superior na formação de professores?,"As instituições devem garantir a articulação entre ensino, pesquisa e extensão, assegurando um padrão de qualidade acadêmica e promovendo a formação integral dos profissionais do magistério."
O que caracteriza a formação inicial de professores da educação básica?,"A formação inicial é caracterizada pela articulação entre conhecimento teórico e prático, preparando os futuros professores para atuar em diversas etapas e modalidades da educação básica."
Como a Resolução aborda a questão da inclusão na educação?,"A Resolução enfatiza a educação inclusiva como um princípio fundamental, promovendo o respeito e valorização das diferenças étnico-raciais, de gênero, e outras diversidades no contexto educacional."
Quais são os tipos de cursos de formação inicial mencionados na Resolução?,"Os tipos de cursos de formação inicial incluem cursos de graduação de licenciatura, cursos de formação pedagógica para graduados não licenciados, e cursos de segunda licenciatura."
Qual é a importância do estágio curricular supervisionado na formação de professores?,"O estágio curricular supervisionado é fundamental para o desenvolvimento prático do docente, permitindo que os estudantes apliquem seus conhecimentos em contextos reais de ensino e aprendizagem."
Quais atividades são necessárias para a formação continuada dos profissionais do magistério?,"As atividades incluem reuniões pedagógicas, grupos de estudo, cursos de atualização e aperfeiçoamento, além de ações que promovam reflexão sobre a prática educacional."
O que é Educação a Distância segundo o Decreto N° 2.494?,"Educação a Distância é uma forma de ensino que possibilita a auto-aprendizagem, mediada por recursos didáticos organizados em diferentes suportes de informação e veiculados por diversos meios de comunicação."
Quais cursos podem ser oferecidos na modalidade de Educação a Distância?,"Podem ser oferecidos cursos do ensino fundamental, médio, educação profissional e de graduação, desde que as instituições sejam credenciadas para tal."
Qual é a validade dos certificados e diplomas de cursos a distância?,"Os certificados e diplomas de cursos a distância, autorizados pelos sistemas de ensino, têm validade nacional."
Como é feita a matrícula nos cursos de Educação a Distância para jovens e adultos?,"A matrícula nos cursos de Educação a Distância para jovens e adultos é feita independentemente de escolarização anterior, mediante avaliação que define o grau de desenvolvimento do candidato."
Quais são os critérios para o credenciamento de instituições para Educação a Distância?,"O credenciamento leva em conta a infraestrutura, a qualificação do corpo docente, a capacidade financeira e administrativa, os resultados de avaliações anteriores e a experiência em educação."
O que é avaliado no rendimento dos alunos nos cursos a distância?,"A avaliação do rendimento dos alunos é realizada por meio de exames presenciais, que medem as competências descritas nas diretrizes curriculares nacionais."
Quais as diretrizes para os cursos de mestrado e doutorado a distância?,A oferta de programas de mestrado e doutorado na modalidade a distância será objeto de regulamentação específica a ser definida pelo Ministro de Educação.
Qual é a duração do credenciamento das instituições que oferecem cursos de educação a distância?,"O credenciamento das instituições e a autorização dos cursos são limitados a cinco anos, podendo ser renovados após avaliação."
Como são organizados os cursos a distância?,"Os cursos a distância são organizados em regime especial, com flexibilidade de requisitos para admissão, horários e duração, respeitando os objetivos e diretrizes curriculares nacionais."
Quais são os requisitos para a matrícula em cursos de graduação a distância?,A matrícula em cursos de graduação a distância requer a comprovação dos requisitos estabelecidos na legislação que regula esses níveis de ensino.
Como é realizada a avaliação da qualidade das instituições que oferecem Educação a Distância?,"A avaliação da qualidade das instituições deve observar procedimentos, critérios e indicadores definidos por ato do Ministro da Educação."
Quais são as obrigações das instituições que oferecem cursos a distância?,"As instituições devem atender às exigências estabelecidas pelo Decreto e pela legislação específica, além de promover a qualidade do ensino e a formação adequada dos alunos."
O que acontece se uma instituição não atender aos padrões de qualidade?,"A falta de atendimento aos padrões de qualidade pode resultar em diligências, sindicâncias e, se necessário, um processo administrativo que pode levar ao descredenciamento."
Quais são as competências do Ministério da Educação em relação à Educação a Distância?,"O Ministério da Educação é responsável por promover atos de credenciamento, regulamentação de cursos e supervisão da qualidade da educação a distância."
Como é feita a avaliação do desempenho dos alunos nos cursos a distância?,"A avaliação do desempenho dos alunos ocorre através de exames presenciais, que avaliam as competências e conteúdos que cada curso se propõe a desenvolver."
Quais são os objetivos do Centro de Educação a Distância da UFAM?,"Os objetivos incluem implantar interfaces entre comunicação e tecnologia, desenvolver projetos de informatização, produzir material instrucional e promover eventos de socialização de conhecimentos."
Como o CED/UFAM se organiza administrativamente?,"O CED/UFAM é organizado com uma estrutura deliberativa, administrativa, pedagógica e tecnológica, além de contar com polos que têm suas próprias estruturas."
O que deve conter o projeto para solicitação de credenciamento para cursos a distância?,"O projeto deve incluir objetivos, estrutura curricular, ementas, carga horária, infraestrutura, suporte pedagógico e plano de avaliação."
O que é considerado Educação Especial segundo a legislação?,"Educação Especial é a modalidade de educação escolar oferecida preferencialmente na rede regular, destinada a educandos portadores de necessidades especiais."
Quais são as diretrizes para a contratação de professores no CED/UFAM?,"A contratação de professores deve observar as qualificações adequadas, com preferência por aqueles que possuam formação específica na área de Educação a Distância."
Qual é o objetivo do Regimento Geral da UFAM?,"O Regimento Geral disciplina os aspectos de organização e funcionamento comuns aos vários órgãos e serviços da Universidade Federal do Amazonas, complementando o Estatuto da instituição."
Quem exerce a administração superior na UFAM?,"A administração superior da UFAM é exercida pelo Conselho Universitário (CONSUNI), pelo Conselho de Administração (CONSAD), pelo Conselho de Ensino, Pesquisa e Extensão (CONSEPE) e pela Reitoria."
Como é composta a administração das Unidades Acadêmicas?,"A administração das Unidades Acadêmicas é composta por um órgão deliberativo, que é o Conselho Departamental, e por um órgão executivo, que é a Diretoria."
Qual é a função do Conselho Universitário?,"O Conselho Universitário (CONSUNI) tem funções deliberativas e normativas, sendo o principal órgão de decisão da administração superior da UFAM."
Quais são as funções da Câmara de Administração e Finanças?,"A Câmara de Administração e Finanças tem a função de aprovar normas sobre organização e gestão administrativa, estabelecer normas sobre gestão econômico-financeira, opinar sobre normas complementares para contratos e aprovar anualmente o Plano de Ação."
Quem pode se candidatar à representação docente nos colegiados superiores da UFAM?,"Somente podem se candidatar à representação docente os integrantes da Carreira do Magistério Superior da Universidade, do quadro permanente."
Qual é a composição das Câmaras Setoriais na UFAM?,"As Câmaras Setoriais são compostas pelo Pró-Reitor da área correspondente como Presidente, representantes do corpo docente de cada Unidade Acadêmica e representação proporcional do corpo discente e técnico-administrativo."
Como são escolhidos os representantes da comunidade universitária nos colegiados superiores?,"Os representantes da comunidade universitária são escolhidos por votação direta e secreta dos membros de cada segmento institucional, para mandato conforme previsto no Estatuto, sendo permitida uma reeleição."
Quais são as atribuições do Conselho Departamental?,"O Conselho Departamental é responsável por elaborar e modificar o Regimento da Unidade, supervisionar atividades dos Departamentos, deliberar sobre utilização de equipamentos, julgar recursos de deliberações e aprovar projetos de pesquisa e extensão."
O que é necessário para um aluno ser considerado aprovado em uma disciplina na UFAM?,Um aluno é considerado aprovado em uma disciplina se satisfizer os requisitos mínimos de frequência e de aproveitamento nos estudos.
Quais são os tipos de cursos oferecidos pela UFAM?,"A UFAM oferece cursos de graduação, pós-graduação stricto sensu (mestrado e doutorado), cursos de especialização, aperfeiçoamento e extensão."
Como é feita a matrícula na UFAM?,"A matrícula ou sua renovação na UFAM é feita por disciplina, em prazo fixado pelo calendário acadêmico para cada período."
Quais penalidades podem ser aplicadas aos alunos da UFAM?,"Os alunos da UFAM estão sujeitos a penalidades disciplinares como advertência, suspensão e exclusão, dependendo da gravidade da infração cometida."
Qual é o regime de trabalho dos docentes da UFAM?,"Os docentes da UFAM podem ser submetidos a regime de dedicação exclusiva, com 40 horas semanais, ou tempo parcial, com 20 horas semanais de trabalho."
O que acontece se um aluno perder o vínculo acadêmico com o curso na UFAM?,"Um aluno perde o vínculo acadêmico se ultrapassar o tempo máximo para integralização do curso, não efetivar matrícula por mais de 04 semestres consecutivos ou por exclusão em virtude de sanção disciplinar."
Quem é responsável pela supervisão e execução das atividades da Reitoria?,"A supervisão e execução das atividades da Reitoria são atribuídas ao Reitor, que pode delegar essas funções ao Vice-reitor e aos Pró-reitores."
Qual é o procedimento para o registro de diplomas expedidos pela UFAM?,"Os diplomas expedidos pela UFAM, relativos a cursos de graduação e pós-graduação stricto sensu, estarão sujeitos a registro conforme a legislação vigente, sendo feito na própria Universidade."
Quais são as atribuições do Diretor de Unidade na UFAM?,"O Diretor de Unidade é responsável por representar e administrar a Unidade, convocar reuniões do Conselho Departamental, zelar pela conservação dos equipamentos, e apresentar relatórios de administração ao Reitor."
O que é inclusão informal de alunos na Universidade Federal do Amazonas?,"A inclusão informal de alunos refere-se ao processo de permitir que estudantes que não estão formalmente matriculados em um curso possam participar das atividades acadêmicas, como aulas e avaliações, com o objetivo de garantir acesso à educação a todos."
Quais são os critérios para a inclusão informal de alunos?,"Os critérios incluem a demonstração de interesse por parte do aluno, a capacidade de acompanhar o conteúdo das aulas e a autorização do professor responsável pela disciplina."
Os alunos que participam da inclusão informal recebem créditos acadêmicos?,"Não, os alunos que participam da inclusão informal não recebem créditos acadêmicos, pois não estão formalmente matriculados."
É necessário ter um motivo específico para solicitar a inclusão informal?,"Sim, o aluno deve apresentar uma justificativa que comprove a necessidade da inclusão informal, como questões financeiras ou de saúde."
Qual é o procedimento para solicitar a inclusão informal?,"O aluno deve fazer um requerimento formal ao professor da disciplina, explicando os motivos da solicitação e apresentando a documentação necessária."
A inclusão informal é permitida em todas as disciplinas?,"A inclusão informal pode ser permitida em todas as disciplinas, mas a decisão final cabe ao professor responsável pela matéria."
Os alunos incluídos informalmente podem realizar avaliações?,"Sim, os alunos incluídos informalmente têm o direito de realizar avaliações, desde que tenham a autorização do professor."
Qual é a duração da inclusão informal?,"A duração da inclusão informal é determinada pelo professor, podendo ser por um semestre ou por um período específico de aulas."
É possível reverter a decisão de inclusão informal?,"Sim, tanto o aluno quanto o professor podem decidir pela reversão da inclusão informal, caso haja mudanças nas circunstâncias."
A inclusão informal pode impactar a matrícula futura do aluno?,"A inclusão informal não deve impactar a matrícula futura do aluno, mas é importante que ele busque regularizar sua situação acadêmica assim que possível."
Os alunos incluídos informalmente têm acesso a materiais didáticos?,"Sim, os alunos incluídos informalmente devem ter acesso aos mesmos materiais didáticos que os alunos matriculados, conforme a política do professor."
A inclusão informal tem um limite de vagas?,"Sim, a inclusão informal pode ter um limite de vagas, dependendo da capacidade da turma e da decisão do professor."
Como os professores devem registrar a inclusão informal?,"Os professores devem registrar a inclusão informal em seus planos de aula e, se necessário, comunicar à coordenação do curso."
Os alunos podem ser incluídos informalmente em disciplinas práticas?,"Sim, a inclusão informal pode ocorrer em disciplinas práticas, mas depende da avaliação do professor sobre a capacidade do aluno de participar."
A inclusão informal pode ser feita em cursos de pós-graduação?,"Sim, a inclusão informal também pode ser aplicada em cursos de pós-graduação, desde que respeitadas as normas e critérios estabelecidos."
Qual é a responsabilidade do aluno durante a inclusão informal?,"O aluno é responsável por acompanhar as atividades, cumprir prazos e diretrizes estabelecidos pelo professor, assim como qualquer aluno regular."
A inclusão informal é uma prática comum na Universidade Federal do Amazonas?,"Sim, a inclusão informal é uma prática reconhecida e adotada em diversas situações na Universidade Federal do Amazonas, visando a inclusão educacional."
Como a inclusão informal afeta a dinâmica da sala de aula?,"A inclusão informal pode enriquecer a dinâmica da sala de aula ao permitir a diversidade de experiências e perspectivas, mas também pode exigir adaptações por parte do professor."
Os alunos incluídos informalmente podem participar de atividades extracurriculares?,"Sim, os alunos incluídos informalmente podem participar de atividades extracurriculares, desde que não haja restrições impostas pelo professor ou pela coordenação."
